2026-03-13 17:36:52 | WARNING  | backend.routers.gateway | Invalid attack mode requested: invalid
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/invalid "HTTP/1.1 422 Unprocessable Entity"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/telemetry?limit=10 "HTTP/1.1 404 Not Found"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/telemetry?limit=20&offset=10 "HTTP/1.1 404 Not Found"
2026-03-13 17:36:52 | WARNING  | analytics.utils | Cannot extract features from empty DataFrame
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/anomalies/detect?limit=100 "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/status "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/status "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | INFO     | backend.routers.gateway | Starting gateway...
2026-03-13 17:36:52 | INFO     | src.gateway | Starting gateway...
2026-03-13 17:36:52 | INFO     | src.ble_receiver | Starting BLEReceiver
2026-03-13 17:36:52 | INFO     | src.ble_receiver | BLEReceiver started successfully
2026-03-13 17:36:52 | INFO     | src.can_translator | CAN bus initialized: virtual
2026-03-13 17:36:52 | INFO     | src.can_translator | Starting CANTranslator (attack_mode=dos)
2026-03-13 17:36:52 | INFO     | src.can_translator | CANTranslator started successfully
2026-03-13 17:36:52 | INFO     | core.metrics_engine | MetricsEngine started
2026-03-13 17:36:52 | INFO     | src.gateway | Gateway fully started
2026-03-13 17:36:52 | INFO     | backend.routers.gateway | Gateway started successfully
2026-03-13 17:36:52 | INFO     | src.ble_receiver | UDP forward starting: 127.0.0.1:5005
2026-03-13 17:36:52 | INFO     | src.ble_receiver | BLE simulation starting
2026-03-13 17:36:52 | INFO     | src.can_translator | UDP receiver listening on 127.0.0.1:5005
